raw_name,standard_name,verification_status,source_url,notes,count
中国冰淇工业集团,中国冰淇工业集团,中,,按原表企业名保留，未命中已知别名库,1
上海市场监督管理局,上海市场监督管理局,中,,按原表企业名保留，未命中已知别名库,1
不要集团,不要集团,中,,按原表企业名保留，未命中已知别名库,1
天能电池,天能电池,中,,按原表企业名保留，未命中已知别名库,1
歌尔科技,歌尔科技,中,,按原表企业名保留，未命中已知别名库,1
担心,担心,待核实,,企业名过短或匿名化，需人工复核,1
DAMO ACADEMY,阿里巴巴达摩院,中,https://damo.alibaba.com/,英文机构名标准化,1
华为2012实验室,华为,中,https://www.huawei.com/cn/corporate-information,包含华为/HUAWEI关键词,4
英伟达中国,英伟达中国,中,,按原表企业名保留，未命中已知别名库,2
中国航天科技集团公司,中国航天科技集团公司,中,,按原表企业名保留，未命中已知别名库,2
华为北京研究所,华为,中,https://www.huawei.com/cn/corporate-information,包含华为/HUAWEI关键词,1
国家电网 STATEGRID 国网江苏省电力公司,国家电网 STATEGRID 国网江苏省电力公司,中,,按原表企业名保留，未命中已知别名库,1
中心通讯南京研发中心,中心通讯南京研发中心,中,,按原表企业名保留，未命中已知别名库,1
吉利汽车,吉利汽车,中,,按原表企业名保留，未命中已知别名库,3
航天科技医院,航天科技医院,中,,按原表企业名保留，未命中已知别名库,1
苏州园区某高中,苏州园区某高中,中,,按原表企业名保留，未命中已知别名库,1
奇瑞汽,奇瑞汽,中,,按原表企业名保留，未命中已知别名库,1
汇川技术,汇川技术,中,,按原表企业名保留，未命中已知别名库,3
杭州海星电力,杭州海星电力,中,,按原表企业名保留，未命中已知别名库,1
美的集团,美的集团,中,https://www.midea.com/cn/about-midea,包含美的/Midea关键词,2
永辉超市,永辉超市,中,,按原表企业名保留，未命中已知别名库,1
中国航空发动机集团,中国航空发动机集团,中,,按原表企业名保留，未命中已知别名库,1
SUNWODA,欣旺达,中,https://www.sunwoda.com/,英文品牌名标准化,1
GREE格力,GREE格力,中,,按原表企业名保留，未命中已知别名库,2
EOOMN,EOOMN,待核实,,纯英文或缩写企业名，需人工复核,1
中国实话,中国实话,中,,按原表企业名保留，未命中已知别名库,2
海康威视,海康威视,中,,按原表企业名保留，未命中已知别名库,2
浙江某央企,浙江某央企,中,,按原表企业名保留，未命中已知别名库,1
中国宝武钢铁集团有限公司,中国宝武钢铁集团有限公司,中,,按原表企业名保留，未命中已知别名库,2
赢的时代,赢的时代,中,,按原表企业名保留，未命中已知别名库,1
中国航发北京航空材料研究院,中国航发北京航空材料研究院,中,,按原表企业名保留，未命中已知别名库,1
中国兵器工业集团 NORINCOGROUP,中国兵器工业集团 NORINCOGROUP,中,,按原表企业名保留，未命中已知别名库,1
一重工,一重工,中,,按原表企业名保留，未命中已知别名库,1
新闻子中国,新闻子中国,中,,按原表企业名保留，未命中已知别名库,1
中国石化,中国石化,中,,按原表企业名保留，未命中已知别名库,1
万华化学集团,万华化学集团,中,,按原表企业名保留，未命中已知别名库,2
八四驳中国,八四驳中国,中,,按原表企业名保留，未命中已知别名库,1
Midea,美的集团,中,https://www.midea.com/cn/about-midea,英文品牌名标准化,1
中国电信,中国电信,中,,按原表企业名保留，未命中已知别名库,2
中国能建,中国能建,中,,按原表企业名保留，未命中已知别名库,1
成都某企业,成都某企业,中,,按原表企业名保留，未命中已知别名库,1
杭州某公控企业,杭州某公控企业,中,,按原表企业名保留，未命中已知别名库,1
深圳某机器人企业,深圳某机器人企业,中,,按原表企业名保留，未命中已知别名库,1
中国电子科技集团公司第十四研究所,中国电子科技集团公司第十四研究所,中,,按原表企业名保留，未命中已知别名库,1
影视因斯打360,影视因斯打360,中,,按原表企业名保留，未命中已知别名库,1
中国电子科技集团,中国电子科技集团,中,,按原表企业名保留，未命中已知别名库,2
亚马逊中国,亚马逊中国,中,,按原表企业名保留，未命中已知别名库,1
乌鲁武器实化公司,乌鲁武器实化公司,中,,按原表企业名保留，未命中已知别名库,1
维吾尔药业,维吾尔药业,中,,按原表企业名保留，未命中已知别名库,1
新疆中泰化学,新疆中泰化学,中,,按原表企业名保留，未命中已知别名库,1
上海建工集团,上海建工集团,中,,按原表企业名保留，未命中已知别名库,1
中国电建集团北京勘测设计研究院有限公司,中国电建集团北京勘测设计研究院有限公司,中,,按原表企业名保留，未命中已知别名库,1
